expo,table,project,sponsors,link,category,special
1,1,studyNow,Best Use of Parse API,http://mhacks6.devpost.com/submissions/40015-studynow,Web Development,0
1,2,Facebook Travel Extension,"Best Money Saving Hack (Concur),Best Travel Hack (Delta),Best Use of Expedia's API",http://mhacks6.devpost.com/submissions/40016-facebook-travel-extension,Web Development,0
1,3,Digital Pantry,"Best Use of Walmart API,Best eCommerce Hack -  Walmart",http://mhacks6.devpost.com/submissions/40017-digital-pantry,Web Development,0
1,4,PurdueCal,Best Money Saving Hack (Concur),http://mhacks6.devpost.com/submissions/40018-purduecal,Miscellaneous,0
1,5,Project Freedom,"Best Use of Analytics and Analysis (Bloomberg),Best Money Saving Hack (Concur)",http://mhacks6.devpost.com/submissions/40021-project-freedom,Web Development,0
1,6,Zafu,"Best Sustainable Hack (Walmart),Top Hack Using .CO,Judge's / Player's Choice (Electronic Arts),Most Professional Hack by LinkedIn",http://mhacks6.devpost.com/submissions/40026-zafu,Web Development,0
1,7,Googling Stack Overflow,Judge's / Player's Choice (Electronic Arts),http://mhacks6.devpost.com/submissions/40027-googling-stack-overflow,Miscellaneous,0
1,8,Kantare,"Top Hack Using .CO,Judge's / Player's Choice (Electronic Arts),Best Use of MongoDB,Best Team Collaboration on a Project -  American Express,Best Domain.com Domain Name",http://mhacks6.devpost.com/submissions/40028-kantare,Web Development,0
1,9,Messenger,,http://mhacks6.devpost.com/submissions/40030-messenger,Miscellaneous,0
1,10,Artify,,http://mhacks6.devpost.com/submissions/40035-artify,Miscellaneous,0
1,11,HoloHat,,http://mhacks6.devpost.com/submissions/40036-holohat,VR/Game Development,0
1,12,Accidental duplicate. Please ignore.,,http://mhacks6.devpost.com/submissions/40040-accidental-duplicate-please-ignore,Web Development,0
1,13,Elify: Your Social Relations Manager,"Top Hack Using .CO,Judge's / Player's Choice (Electronic Arts),Best Business Solution App Using Open Source (Goldman Sachs),Best Use of MongoDB",http://mhacks6.devpost.com/submissions/40042-elify-your-social-relations-manager,Web Development,0
1,14,quick_notes,Best Use of MongoDB,http://mhacks6.devpost.com/submissions/40043-quick_notes,Web Development,0
1,15,The Last Taco,Top Hack Using .CO,http://mhacks6.devpost.com/submissions/40047-the-last-taco,VR/Game Development,0
1,16,Dora The Explorer,,http://mhacks6.devpost.com/submissions/40049-dora-the-explorer,Web Development,0
1,17,Text2SQL,,http://mhacks6.devpost.com/submissions/40050-text2sql,Miscellaneous,0
1,18,Guardian Angel,"Best iOS App (Apple),Best Use of Parse API,Ford Best Mobile App,Best Hack for Social Impact - Spnosored by VFA",http://mhacks6.devpost.com/submissions/40187-guardian-angel,iOS,0
1,19,Want,Best Use of Walmart API,http://mhacks6.devpost.com/submissions/40054-want,Miscellaneous,0
1,20,Mosaic Ninja,"Top Hack Using .CO,Best Use of Expedia's API,Best Use of Firebase",http://mhacks6.devpost.com/submissions/40055-mosaic-ninja,Web Development,0
1,21,whatDo,"Best Travel Hack (Delta),Best Business Solution App Using Open Source (Goldman Sachs)",http://mhacks6.devpost.com/submissions/40056-whatdo,Web Development,0
1,22,Genie: 'Im'personal Digital Assistant,"Top Hack Using .CO,Most Innovative Use of DIRECTV's APIs,Best Use of Twilio",http://mhacks6.devpost.com/submissions/40062-genie-im-personal-digital-assistant,Web Development,0
1,23,Sonata in Python,,http://mhacks6.devpost.com/submissions/40064-sonata-in-python,Miscellaneous,0
1,24,JobHacks,"Top Hack Using .CO,Judge's / Player's Choice (Electronic Arts),Best Team Collaboration on a Project -  American Express,Most Professional Hack by LinkedIn",http://mhacks6.devpost.com/submissions/40068-jobhacks,Web Development,0
1,25,Musical Errors,Best Way to Visualize Data -  Qualtrics,http://mhacks6.devpost.com/submissions/40069-musical-errors,Miscellaneous,0
1,26,name placeholder,"Judge's / Player's Choice (Electronic Arts),Best Use of Parse API,Best Use of Firebase,Best Use of GUN",http://mhacks6.devpost.com/submissions/40070-name-placeholder,VR/Game Development,1
1,27,Quotable,Best Use of Analytics and Analysis (Bloomberg),http://mhacks6.devpost.com/submissions/40072-quotable,Web Development,0
